名前,緯度,経度,高度,年,月,月平均気温,月平均最高気温,月平均最低気温,月降水量,月平均気温平年値,月平均降水量平年値,標準化降水指数（3か月）,標準化降水指数（6か月）,標準化降水指数（12か月）
昭和基地,695,-39.57,18,,,(℃),(℃),(℃),(mm),(℃),（mm),,,
昭和基地,695,-39.57,18,2018,5,-16,-12.9,-19.9,,-13.5,,,,
昭和基地,695,-39.57,18,2018,6,-13.1,-10,-16.3,,-15.2,,,,
昭和基地,695,-39.57,18,2018,7,-17.9,-14.8,-21.3,,-17.3,,,,
昭和基地,695,-39.57,18,2018,8,-16.2,-12.8,-20.4,,-19.4,,,,
昭和基地,695,-39.57,18,2018,9,-19.1,-15.9,-23.4,,-18.1,,,,
昭和基地,695,-39.57,18,2018,10,-16,-12.7,-20.5,,-13.5,,,,
昭和基地,695,-39.57,18,2018,11,-6.7,-4.4,-9.8,,-6.8,,,,
昭和基地,695,-39.57,18,2018,12,-1.7,0.6,-4.5,,-1.6,,,,
昭和基地,695,-39.57,18,2019,1,-1.2,1.1,-3.7,,-0.7,,,,
昭和基地,695,-39.57,18,2019,2,-2.2,0,-4.7,,-2.9,,,,
昭和基地,695,-39.57,18,2019,3,-6.8,-4.6,-9.5,,-6.5,,,,
昭和基地,695,-39.57,18,2019,4,-10.3,-7.6,-13.6,,-10.1,,,,
昭和基地,695,-39.57,18,2019,5,-12.6,-10.2,-15.6,,-13.5,,,,
昭和基地,695,-39.57,18,2019,6,-11.8,-8.7,-15.3,,-15.2,,,,
昭和基地,695,-39.57,18,2019,7,-18.3,-15.2,-22.1,,-17.3,,,,
昭和基地,695,-39.57,18,2019,8,-17.6,-13.7,-21.6,,-19.4,,,,
昭和基地,695,-39.57,18,2019,9,-19.3,-15.9,-23.3,,-18.1,,,,
昭和基地,695,-39.57,18,2019,10,-8,-5.5,-11.3,,-13.5,,,,
昭和基地,695,-39.57,18,2019,11,-6,-3,-9.6,,-6.8,,,,
昭和基地,695,-39.57,18,2019,12,-0.5,1.8,-3.2,,-1.6,,,,
昭和基地,695,-39.57,18,2020,1,-0.2,2.5,-3.1,,-0.7,,,,
昭和基地,695,-39.57,18,2020,2,-3.2,-0.7,-6,,-2.9,,,,
昭和基地,695,-39.57,18,2020,3,-6.7,-4.7,-9.5,,-6.5,,,,
昭和基地,695,-39.57,18,2020,4,-10.4,-8.1,-13.2,,-10.1,,,,
